Temperature,Humidity,Light,CO2,PIR,Microphone,noise_mean,noise_min,co2_mean,co2_delta,co2_delta_mean,co2_variance,light_mean,light_variance,light_std,light_delta,temp_mean,humidity_mean,temp_delta,pir_sum,pir_max,pir_rolling_mean,hour
21.1,45.5,102,400,0,0.0235,0.027060000000000008,0.0217,400.0,0.0,0.0,0.0,100.0,4.499999999999492,2.121320343559523,0.0,21.160000000000004,45.5,0.0,0.0,0.0,0.0,14
21.7,45.5,100,400,0,0.0307,0.0307004,0.0249,400.0,0.0,0.0,0.0,99.8,9.699999999999534,3.1144823004794127,2.0,21.62,45.5,0.09999999999999787,0.0,0.0,0.0,14
21.3,45.4,99,400,0,0.0017273324,0.0016517112000000022,0.0014719727,400.0,0.0,0.0,0.0,101.6,13.299999999999569,3.6469165057620345,-7.0,21.3,45.36,0.0,2.0,1.0,0.4,1
21.1,45.8,801,400,0,0.0012824388,0.00127601348,0.0010974635,400.0,0.0,0.0,0.0,805.0,29.999999999999716,5.477225575051635,0.0,21.1,45.879999999999995,0.0,0.0,0.0,0.0,0
21.1,45.7,95,400,0,0.0,7.26934459999998e-06,0.0,400.0,0.0,0.0,0.0,98.6,8.300000000000011,2.880972058177589,-6.0,21.1,45.7,0.0,0.0,0.0,0.0,0
21.7,44.6,117,400,1,0.01195395,0.015057337200000001,0.01195395,400.0,0.0,0.0,0.0,114.2,5.699999999999438,2.3874672772625467,1.0,21.720000000000002,45.0,0.09999999999999787,2.0,1.0,0.4,12
21.3,45.3,98,400,0,0.0076864734,0.010586508280000004,0.002867019,400.0,0.0,0.0,0.0,101.2,6.699999999999598,2.588435821108879,-6.0,21.3,45.32,0.0,0.0,0.0,0.0,1
21.3,45.2,106,400,0,0.0055732457,0.004453261380000003,0.0021322148,400.0,0.0,0.0,0.0,102.2,12.699999999999552,3.5637059362410293,7.0,21.3,45.160000000000004,0.0,1.0,1.0,0.2,1
21.1,45.8,801,400,0,0.0015693535,0.00146554878,0.0011094118,400.0,0.0,0.0,0.0,809.0,19.999999999999147,4.472135954999484,-10.0,21.1,45.8,0.0,0.0,0.0,0.0,0
21.1,44.9,95,400,0,0.016640643,0.015544152000000002,0.012886133,400.0,0.0,0.0,0.0,101.2,31.199999999999374,5.58569601750752,-12.0,21.12,45.019999999999996,-0.09999999999999787,1.0,1.0,0.2,12
21.0,45.3,97,400,0,0.018910626,0.0161459096,0.014250391,400.0,0.0,0.0,0.0,100.0,5.499999999999365,2.3452078799115794,-1.0,21.06,45.12,-0.3000000000000007,2.0,1.0,0.4,12
21.2,45.3,104,400,0,0.0312,0.028000000000000004,0.0219,400.0,0.0,0.0,0.0,102.4,7.299999999999552,2.701851217221176,5.0,21.24,45.3,-0.10000000000000142,0.0,0.0,0.0,14
21.1,45.0,105,400,0,0.018641582,0.018405244400000003,0.013199394,400.0,0.0,0.0,0.0,103.6,8.299999999999438,2.880972058177489,4.0,21.2,44.98,0.0,0.0,0.0,0.0,12
21.1,45.8,811,400,0,0.0011094118,0.0012187972200000002,0.0011094118,400.0,0.0,0.0,0.0,811.0,0.0,0.0,0.0,21.1,45.779999999999994,0.0,0.0,0.0,0.0,0
21.1,45.8,98,400,0,1.8193106e-05,0.0002129849002,1.8175684e-05,400.0,0.0,0.0,0.0,98.4,9.299999999999988,3.0495901363953792,-3.0,21.1,45.760000000000005,0.0,2.0,1.0,0.4,0
21.7,45.1,115,400,1,0.017577538,0.015837605100000002,0.012942311,400.0,0.0,0.0,0.0,110.6,12.299999999999532,3.5071355833499696,2.0,21.6,44.84,0.1999999999999993,4.0,1.0,0.8,12
