"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.658109950E-1,-1.677368641E0,3.019742250E0,6.321837425E0,7.204029237E0
1.682159430E-1,-1.682154298E0,2.952743053E0,6.336194515E0,7.189971875E0
1.706208910E-1,-1.698904037E0,2.892922640E0,6.302694798E0,7.139974653E0
1.730257870E-1,-1.672582984E0,2.861815929E0,6.242874146E0,7.068309688E0
1.754307350E-1,-1.605584025E0,2.821137905E0,6.211767673E0,7.008764283E0
1.778356830E-1,-1.555334687E0,2.787638426E0,6.226124287E0,6.996757650E0
1.802406310E-1,-1.490728498E0,2.744567633E0,6.252445698E0,6.989134435E0
1.826455260E-1,-1.454836130E0,2.706282377E0,6.216553211E0,6.934410306E0
1.850504740E-1,-1.447657704E0,2.703889608E0,6.173482418E0,6.893374864E0
1.874554220E-1,-1.459621787E0,2.718246460E0,6.094519138E0,6.830997226E0
1.898603700E-1,-1.483550072E0,2.718246460E0,5.970092297E0,6.725458101E0
1.922653180E-1,-1.567298889E0,2.727817774E0,5.831308842E0,6.625826622E0
1.946702140E-1,-1.646261930E0,2.720639229E0,5.678168297E0,6.507968298E0
1.970751620E-1,-1.722832322E0,2.711068153E0,5.510670662E0,6.378521215E0
1.994801100E-1,-1.820937991E0,2.672782898E0,5.331208706E0,6.235492751E0
2.018850580E-1,-1.926222205E0,2.627319336E0,5.158925533E0,6.101446676E0
2.042899530E-1,-2.024327993E0,2.562713146E0,5.022534847E0,5.990931379E0
2.066949010E-1,-2.091326952E0,2.512463808E0,4.907679081E0,5.896731024E0
2.090998490E-1,-2.160718918E0,2.423929453E0,4.802394867E0,5.797166264E0
2.115047450E-1,-2.194218397E0,2.356930256E0,4.723432064E0,5.716688296E0
2.139096930E-1,-2.244467735E0,2.275574446E0,4.663611412E0,5.653772712E0
2.163146410E-1,-2.285145521E0,2.201396942E0,4.603790760E0,5.591326132E0
2.187195890E-1,-2.340180635E0,2.151147604E0,4.529613495E0,5.533649775E0
2.211244850E-1,-2.376072884E0,2.112862349E0,4.472185612E0,5.487290205E0
2.235294330E-1,-2.414358139E0,2.060220242E0,4.431507587E0,5.450861598E0
2.259343810E-1,-2.467000246E0,1.990828395E0,4.402793884E0,5.425318599E0
2.283393280E-1,-2.510071039E0,1.942971945E0,4.354937077E0,5.388977040E0
2.307442240E-1,-2.541177750E0,1.859223247E0,4.352544308E0,5.372051506E0
2.331491720E-1,-2.538784742E0,1.782652855E0,4.381258488E0,5.368305608E0
2.355541200E-1,-2.543570518E0,1.696511269E0,4.419543266E0,5.374036114E0
2.379590680E-1,-2.524427891E0,1.603191137E0,4.484149456E0,5.389856616E0
2.403639640E-1,-2.505285263E0,1.509871125E0,4.560719967E0,5.418148363E0
2.427689120E-1,-2.481357098E0,1.435693622E0,4.673182487E0,5.482424991E0
2.451738600E-1,-2.488535643E0,1.359123230E0,4.783252239E0,5.560533030E0
2.475788080E-1,-2.517249346E0,1.275374413E0,4.878965378E0,5.636260047E0
2.499837030E-1,-2.548356056E0,1.215553880E0,4.972285271E0,5.717981343E0
2.523886510E-1,-2.577069998E0,1.167697430E0,5.089533806E0,5.823071477E0
2.547935990E-1,-2.641676188E0,1.115055323E0,5.247459888E0,5.979768953E0
2.571985470E-1,-2.703889608E0,1.083948612E0,5.367101192E0,6.106696228E0
2.596034430E-1,-2.763710260E0,1.057627559E0,5.503491879E0,6.248607310E0
2.620083910E-1,-2.852244616E0,1.031306505E0,5.627918720E0,6.393149582E0
2.644133390E-1,-2.943171740E0,1.024128079E0,5.752345562E0,6.542215044E0
2.668182870E-1,-3.041277647E0,1.024128079E0,5.836094379E0,6.660195617E0
2.692231830E-1,-3.148954630E0,1.002592683E0,5.891129494E0,6.754740118E0
2.716281310E-1,-3.266202927E0,9.930213690E-1,5.938985825E0,6.850235443E0
2.740330780E-1,-3.366701365E0,1.007378340E0,5.912664890E0,6.878160750E0
2.764380260E-1,-3.481556892E0,9.978070259E-1,5.864808083E0,6.892955179E0
2.788429220E-1,-3.589233875E0,9.595218897E-1,5.788238049E0,6.878007108E0
2.812478700E-1,-3.696911097E0,9.068797827E-1,5.678168297E0,6.836020612E0
2.836528180E-1,-3.783052683E0,8.494520187E-1,5.575276852E0,6.790932801E0
2.860577660E-1,-3.869194269E0,7.968099117E-1,5.479563713E0,6.755086144E0
2.884626620E-1,-3.957728624E0,7.130611539E-1,5.379065514E0,6.716131169E0
2.908676100E-1,-4.022335052E0,6.245267391E-1,5.254638672E0,6.646836879E0
2.932725580E-1,-4.043870449E0,5.264210105E-1,5.137390137E0,6.559175612E0
2.956775060E-1,-4.055834293E0,4.211367965E-1,5.056034088E0,6.495431373E0
2.980824010E-1,-4.094119549E0,3.541377485E-1,4.948357105E0,6.432220959E0
3.004873490E-1,-4.091726780E0,2.751746178E-1,4.874179840E0,6.369896249E0
3.028922970E-1,-4.077369690E0,1.746760458E-1,4.821537495E0,6.316856744E0
3.052972450E-1,-4.070191383E0,1.100698411E-1,4.754538536E0,6.259729224E0
3.077021410E-1,-4.074976921E0,1.914258115E-2,4.711467743E0,6.229264133E0
3.101070890E-1,-4.058227062E0,-6.221338734E-2,4.701896667E0,6.211353288E0
3.125120370E-1,-4.058227062E0,-1.363908947E-1,4.728217602E0,6.232483538E0
3.149169850E-1,-4.091726780E0,-2.464607358E-1,4.790431023E0,6.304855297E0
3.173218810E-1,-4.141975880E0,-3.278166950E-1,4.876572609E0,6.406589450E0
3.197268280E-1,-4.192225456E0,-4.211367965E-1,5.003392220E0,6.541104202E0
3.221317760E-1,-4.242474556E0,-5.048855543E-1,5.149354458E0,6.690990294E0
3.245367240E-1,-4.338187218E0,-5.647061467E-1,5.309673309E0,6.879781393E0
3.269416200E-1,-4.443471432E0,-6.388836503E-1,5.503491879E0,7.102185124E0
3.293465680E-1,-4.560719967E0,-6.843472719E-1,5.690132141E0,7.324349909E0
3.317515160E-1,-4.694717884E0,-7.274180651E-1,5.934200287E0,7.601594971E0
3.341564640E-1,-4.809573650E0,-7.872386575E-1,6.180660725E0,7.870978999E0
3.365613600E-1,-4.914857864E0,-8.015955687E-1,6.405586243E0,8.113563853E0
3.389663080E-1,-5.020142078E0,-8.422735929E-1,6.637690067E0,8.364818033E0
3.413712560E-1,-5.125426292E0,-8.063812256E-1,6.848258495E0,8.591792000E0
3.437761510E-1,-5.261816978E0,-7.776673436E-1,6.948757172E0,8.750811999E0
3.461810990E-1,-5.386243820E0,-7.633104324E-1,6.967899323E0,8.840016192E0
