"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.130912900E-2,-3.235096216E0,-5.400600910E0,6.520441532E0,9.063580721E0
1.371183700E-2,-3.225524902E0,-5.412564754E0,6.510870457E0,9.060425057E0
1.611683700E-2,-3.201596737E0,-5.412564754E0,6.515655994E0,9.055376962E0
1.852183700E-2,-3.184846878E0,-5.424529076E0,6.508477688E0,9.051466574E0
2.092688900E-2,-3.158525944E0,-5.446064472E0,6.506084919E0,9.053454884E0
2.333188900E-2,-3.134597778E0,-5.462814331E0,6.501298904E0,9.051791596E0
2.573688900E-2,-3.113062143E0,-5.462814331E0,6.520441532E0,9.058126412E0
2.814194100E-2,-3.108276606E0,-5.469992638E0,6.534798622E0,9.071151853E0
3.054694100E-2,-3.115455151E0,-5.472385406E0,6.553941250E0,9.088850793E0
3.295194100E-2,-3.115455151E0,-5.481956482E0,6.585047722E0,9.117058800E0
3.535699300E-2,-3.127419233E0,-5.479563713E0,6.599404812E0,9.130088358E0
3.776199300E-2,-3.117847919E0,-5.496313572E0,6.628118515E0,9.157641267E0
4.016699300E-2,-3.125026464E0,-5.477170944E0,6.671189308E0,9.179867033E0
4.257199300E-2,-3.134597778E0,-5.484349728E0,6.683153629E0,9.196104480E0
4.497704500E-2,-3.129812002E0,-5.491528034E0,6.695117950E0,9.207453920E0
4.738204500E-2,-3.146561861E0,-5.496313572E0,6.714260101E0,9.229929747E0
4.978709700E-2,-3.163311481E0,-5.479563713E0,6.733402729E0,9.239635833E0
5.219209700E-2,-3.160918713E0,-5.489135265E0,6.735795975E0,9.246240343E0
5.459709700E-2,-3.168097258E0,-5.474778175E0,6.735795975E0,9.240183100E0
5.700209700E-2,-3.168097258E0,-5.491528034E0,6.733402729E0,9.248374597E0
5.940715000E-2,-3.175275564E0,-5.489135265E0,6.735795975E0,9.251158213E0
6.181215000E-2,-3.160918713E0,-5.474778175E0,6.695117950E0,9.208105535E0
6.421720200E-2,-3.153740168E0,-5.486742496E0,6.666403770E0,9.191918162E0
6.662220200E-2,-3.122633457E0,-5.481956482E0,6.649653912E0,9.166274255E0
6.902720200E-2,-3.115455151E0,-5.450850010E0,6.620940208E0,9.124400028E0
7.143225400E-2,-3.084348440E0,-5.450850010E0,6.549155712E0,9.061810618E0
7.383725400E-2,-3.050848961E0,-5.446064472E0,6.489335060E0,9.004374889E0
7.624225400E-2,-3.026920557E0,-5.436492920E0,6.427121639E0,8.945702649E0
7.864725400E-2,-3.007778168E0,-5.407779217E0,6.352943897E0,8.868523086E0
8.105230600E-2,-2.976671457E0,-5.405386448E0,6.271588326E0,8.798385974E0
8.345730600E-2,-2.957528830E0,-5.393422127E0,6.211767673E0,8.741969838E0
8.586230600E-2,-2.967100143E0,-5.410171986E0,6.163911343E0,8.721665392E0
8.826735800E-2,-3.014956474E0,-5.414957523E0,6.135197163E0,8.720801095E0
9.067235800E-2,-3.060420275E0,-5.436492920E0,6.144768715E0,8.756700868E0
9.307735800E-2,-3.079562664E0,-5.467599869E0,6.159125328E0,8.792791328E0
9.548241000E-2,-3.117847919E0,-5.505885124E0,6.178267956E0,8.843457558E0
9.788741000E-2,-3.134597778E0,-5.563312531E0,6.218945980E0,8.913553649E0
1.002924100E-1,-3.110669374E0,-5.613562107E0,6.242874146E0,8.953313414E0
1.026974620E-1,-3.091526747E0,-5.649454117E0,6.245266914E0,8.970910114E0
1.051024620E-1,-3.060420275E0,-5.673382282E0,6.259624004E0,8.985339807E0
1.075074620E-1,-3.031706333E0,-5.702096462E0,6.276373863E0,9.005443700E0
1.099125140E-1,-3.014956474E0,-5.687739372E0,6.283552170E0,8.995741747E0
1.123175140E-1,-2.971885681E0,-5.706882000E0,6.283552170E0,8.993532928E0
1.147225140E-1,-2.950350285E0,-5.711667538E0,6.269195557E0,8.979450194E0
1.171275660E-1,-2.940778971E0,-5.733202934E0,6.278766632E0,8.996705356E0
1.195325660E-1,-2.957528830E0,-5.752345562E0,6.262016773E0,9.002739045E0
1.219375660E-1,-2.945564747E0,-5.778666496E0,6.259624004E0,9.014001932E0
1.243426180E-1,-2.945564747E0,-5.788238049E0,6.247660160E0,9.011842701E0
1.267476180E-1,-2.940778971E0,-5.802595139E0,6.214160442E0,8.996337105E0
1.291526180E-1,-2.928814888E0,-5.819344521E0,6.171089649E0,8.973576475E0
1.315576700E-1,-2.940778971E0,-5.824130535E0,6.144768715E0,8.962525314E0
1.339626700E-1,-2.943171740E0,-5.843272686E0,6.111268997E0,8.952860120E0
1.363676700E-1,-2.912065268E0,-5.845665932E0,6.068198204E0,8.914873176E0
1.387727220E-1,-2.885744095E0,-5.850451469E0,6.003592014E0,8.865574908E0
1.411777220E-1,-2.840280533E0,-5.860022545E0,5.931807518E0,8.808711493E0
1.435827220E-1,-2.806781054E0,-5.850451469E0,5.862415314E0,8.744925133E0
