"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.722935620E-1,-3.881158352E0,5.089533806E0,6.206982136E0,8.915905548E0
1.746984050E-1,-4.055834293E0,5.106283665E0,6.283552170E0,9.055769020E0
1.771032490E-1,-4.295116425E0,5.094319344E0,6.405586243E0,9.242924309E0
1.795080410E-1,-4.472185612E0,5.044070244E0,6.537191391E0,9.390312032E0
1.819128850E-1,-4.512863636E0,4.991427898E0,6.664011002E0,9.470445253E0
1.843177280E-1,-4.503292084E0,4.914857864E0,6.762116909E0,9.495351100E0
1.867225720E-1,-4.510470867E0,4.881358147E0,6.917650223E0,9.593012530E0
1.891274160E-1,-4.546362877E0,4.835894585E0,7.063612461E0,9.692776323E0
1.915322600E-1,-4.510470867E0,4.790431023E0,7.159325123E0,9.723605969E0
1.939371030E-1,-4.455435753E0,4.747360229E0,7.252645493E0,9.746240482E0
1.963419470E-1,-4.357329845E0,4.709074974E0,7.357929707E0,9.762214916E0
1.987467910E-1,-4.283152580E0,4.697110653E0,7.429714203E0,9.777980244E0
2.011515830E-1,-4.206582069E0,4.697110653E0,7.429714203E0,9.744682362E0
2.035564260E-1,-4.036691666E0,4.704289436E0,7.484749317E0,9.718368744E0
2.059612700E-1,-3.876372576E0,4.682754040E0,7.537391186E0,9.683321518E0
2.083661140E-1,-3.768695593E0,4.692325115E0,7.582854748E0,9.680943528E0
2.107709580E-1,-3.739981890E0,4.706682205E0,7.664210796E0,9.740659580E0
2.131758010E-1,-3.775874138E0,4.713860512E0,7.719245911E0,9.801248077E0
2.155806450E-1,-3.864408493E0,4.716253281E0,7.685746193E0,9.810575546E0
2.179854890E-1,-3.976871252E0,4.689932346E0,7.587640762E0,9.766435517E0
2.203903330E-1,-4.103690624E0,4.682754040E0,7.549355507E0,9.785766741E0
2.227951240E-1,-4.185046673E0,4.689932346E0,7.520641804E0,9.801537339E0
2.251999680E-1,-4.266402721E0,4.670789719E0,7.439285755E0,9.765318291E0
2.276048120E-1,-4.316651821E0,4.634897232E0,7.357929707E0,9.708495499E0
2.300096550E-1,-4.328616142E0,4.582255363E0,7.286144733E0,9.634411606E0
2.324144990E-1,-4.357329845E0,4.534399033E0,7.209574699E0,9.566873330E0
2.348193430E-1,-4.383651257E0,4.474578381E0,7.121040344E0,9.484063771E0
2.372241870E-1,-4.417150497E0,4.412364960E0,7.027719975E0,9.400480365E0
2.396290300E-1,-4.443471432E0,4.338187218E0,6.924828529E0,9.301481434E0
2.420338740E-1,-4.491328239E0,4.278367043E0,6.841079712E0,9.234545226E0
2.444387180E-1,-4.503292084E0,4.192225456E0,6.750152588E0,9.133397715E0
2.468435100E-1,-4.484149456E0,4.106083870E0,6.678368092E0,9.031507153E0
2.492483530E-1,-4.450650215E0,4.058227062E0,6.582654953E0,8.922378632E0
