Time (s),Roll (°),Pitch (°),Yaw (°)
0.029170891,0.41549661376193914,-1.0829815344266078,-0.4049678065286073
0.048410995,0.5557499808322346,-2.331154263902449,-0.7505077775122249
0.0676511,0.4056221418323904,-3.4275788128856863,-0.9920069964502832
0.086891204,0.09679167971909575,-4.48040257809505,-1.1861996246676065
0.106131308,-0.15215741216853773,-5.669247806957004,-1.402951261398385
0.125371412,-0.2745178460296679,-6.840110027398006,-1.666504421174385
0.144611516,-0.3215019009248714,-8.052387284732957,-1.8357811388684504
0.16385162,-0.37938812411065215,-9.401478887009686,-1.850006779875349
0.183091725,-0.43444198794301037,-10.966017641478006,-1.881067501309901
0.202331829,-0.4037602336864272,-12.556392403711678,-2.0240814838673726
0.221571933,-0.333812085850893,-13.690040338417207,-2.2640655248826227
0.240812037,-0.35051660037912774,-14.199012093406331,-2.5397399420347435
0.260052141,-0.3852762917653491,-14.452032692739476,-2.61659207266857
0.279292245,-0.2465774834031692,-14.758029292567251,-2.3979885726262227
0.29853235,0.2231378892620059,-15.491002311180186,-2.0379703906939923
0.317772454,0.9639128158176029,-16.654914556727046,-1.5905781835143191
0.337012558,1.8510744568363326,-17.93008310796024,-1.0574954385038882
0.356252662,2.5722294093003533,-19.030487614284556,-0.613301902823706
0.375492766,2.864470227465569,-20.070853602392717,-0.2638898644593436
0.39473287,2.7215510255843167,-21.126630488388166,0.08973095576204349
0.413972975,2.5070683043030755,-22.151893609674048,0.3928465419591947
0.433213079,2.462365242528528,-22.51448483738312,0.7452889111756793
0.452453183,2.7291235197609423,-22.247799144608162,1.2989104770558013
0.471693287,3.3868783821567994,-21.211186685645483,2.08485608677278
0.490933391,4.350827364939727,-19.54976847332865,3.0639000440258624
0.510173495,5.407678650188297,-17.048765405721383,4.259948247202546
0.5294136,6.077911844152725,-14.26994556005136,5.501451148628431
0.548653704,6.127376585680741,-12.322831069751237,6.692785416823149
0.567893808,5.883578422838945,-11.000346837338343,7.9309213062848585
0.587133912,5.441622262584533,-10.66494329105731,9.139932405144517
0.606374016,5.039620922477235,-11.28423947273177,10.372175973990302
0.62561412,4.953591296820817,-11.656473785453983,11.703409821678225
0.644854225,5.109619780184542,-11.409822119110629,12.932791530027977
0.664094329,5.068324638081519,-11.483223463683174,14.09348607187478
0.683334433,4.8104729646653785,-11.190306977413252,15.315965351827565
0.702574537,4.598598172360607,-10.23804997213456,16.620431442547023
0.721814641,4.351137577179949,-9.668062172691316,17.87371878949509
0.741054745,4.243029576312318,-8.836058412162897,19.260340031628576
