"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.818499954E0,5.076971531E0,3.061018467E0,-1.859821439E0
1.837740058E0,4.516452789E0,1.956730723E0,-7.926225066E-1
1.856980162E0,4.262813568E0,3.649054468E-1,4.165904045E0
1.876220266E0,5.686542988E0,-9.690931439E-2,8.569893837E0
1.895460370E0,7.271788120E0,8.691928387E-1,1.004447079E1
1.914700370E0,7.731808186E0,2.527418852E0,9.885348320E0
1.933940475E0,8.024929047E0,3.648456335E0,1.159262753E1
1.953180579E0,7.469195843E0,4.762315273E0,1.250130177E1
1.972420683E0,5.094917774E0,6.388238430E0,1.015334511E1
1.991660787E0,2.496312141E0,9.000602722E0,4.188037872E0
2.010900891E0,4.253242314E-1,1.076830006E1,3.462414265E0
2.030140891E0,-8.494520187E-2,1.151306629E1,6.420541286E0
2.049380995E0,1.857428551E0,1.001216793E1,9.270393372E0
2.068621100E0,2.479562521E0,8.945567131E0,1.086341476E1
2.087861204E0,-1.160518974E-1,1.037348461E1,8.367102623E0
2.107101308E0,-2.267797709E0,1.127677536E1,4.668995380E0
2.126341412E0,-3.332603693E0,9.659825325E0,2.856431961E0
2.145581412E0,-3.697509289E0,6.891927242E0,3.530609846E0
2.164821516E0,-4.226323128E0,4.741976261E0,4.475176334E0
2.184061620E0,-4.478765965E0,3.399602890E0,3.748954773E0
2.203301725E0,-3.981656790E0,2.598605394E0,2.925225735E0
2.222541829E0,-3.430111170E0,2.396411896E0,2.843271494E0
2.241781933E0,-4.066602230E0,2.833101988E0,4.063013077E0
2.261022037E0,-5.234897614E0,3.369094372E0,5.815157413E0
2.280262037E0,-3.946362734E0,4.014558315E0,7.390830994E0
2.299502141E0,-2.049452543E0,5.641079426E0,9.659226418E0
2.318742245E0,-1.977667928E0,8.358727455E0,1.175294685E1
2.337982350E0,-6.424728632E-1,1.011087227E1,1.014975548E1
2.357222454E0,-2.021935135E-1,1.337169075E1,9.851848602E0
2.376462454E0,1.711466432E0,1.296969700E1,9.182456970E0
2.395702558E0,1.749153376E0,1.012104130E1,9.215956688E0
2.414942662E0,-4.737788737E-1,9.209974289E0,9.811170578E0
2.434182766E0,-1.688136339E0,9.460622787E0,7.514061451E0
2.453422870E0,8.769695163E-1,8.524430275E0,5.149354458E0
2.472662975E0,3.690330744E0,6.168098450E0,3.744767427E0
2.491902975E0,3.912863255E0,3.921238184E0,3.573680639E0
2.511143079E0,3.305684566E0,1.403988719E0,3.550350666E0
2.530383183E0,5.452046394E0,-2.967100143E-1,5.592624664E0
2.549623287E0,8.784649849E0,-2.032702923E0,6.381059647E0
2.568863391E0,1.113021469E1,-3.034697294E0,9.361320496E0
2.588103495E0,1.284467220E1,-2.335394859E0,1.124746323E1
2.607343495E0,1.254018497E1,-1.387837172E0,9.427123070E0
2.626583600E0,9.319445610E0,1.316052437E0,7.627720356E0
2.645823704E0,7.031907558E0,5.637490273E0,5.513661385E0
2.665063808E0,6.223731518E0,8.297112465E0,3.632902861E0
2.684303912E0,5.405984402E0,9.421739578E0,3.680161238E0
2.703543912E0,6.093322754E0,7.112665176E0,6.331408501E0
2.722784016E0,6.037689686E0,4.737190723E0,1.483550072E1
2.742024120E0,4.081557274E0,4.506881237E0,2.078525352E1
2.761264225E0,1.826321840E0,5.787041664E0,2.111187363E1
2.780504329E0,1.914258115E-2,5.975476265E0,1.869272995E1
2.799744433E0,-1.752144337E0,5.534598827E0,1.620539093E1
2.818984433E0,-3.598206997E0,5.961717606E0,1.308515072E1
2.838224537E0,-4.639084816E0,6.767500877E0,9.575477600E0
2.857464641E0,-4.966303349E0,7.763513088E0,6.854240417E0
2.876704745E0,-6.750751019E0,8.181060791E0,6.102894306E0
2.895944850E0,-1.009053326E1,7.508677483E0,8.014759064E0
2.915184850E0,-1.214596748E1,5.532804012E0,9.916455269E0
2.934424954E0,-1.164347458E1,3.604787350E0,1.144905853E1
2.953665058E0,-8.938986778E0,2.585444927E0,1.328375530E1
2.972905162E0,-5.936593056E0,3.975674868E0,1.563589954E1
2.992145266E0,-2.132004976E0,7.199405193E0,1.620240021E1
3.011385370E0,4.399204254E0,9.591629982E0,1.582253933E1
3.030625370E0,7.618747234E0,1.048654556E1,1.586441422E1
3.049865475E0,1.028195858E1,7.773682594E0,1.305823135E1
3.069105579E0,9.553344727E0,6.875177860E0,1.322752380E1
3.088345683E0,8.264809608E0,5.392225742E0,1.246361542E1
3.107585787E0,5.825326920E0,3.343371391E0,1.100459099E1
3.126825787E0,4.268197536E0,1.577468276E0,8.938388824E0
3.146065891E0,5.248058319E0,2.153540403E-1,7.034898758E0
3.165305995E0,6.802794933E0,-8.656035662E-1,5.459823132E0
3.184546100E0,9.877572060E0,-1.658226132E0,2.619542599E0
3.203786204E0,1.328196049E1,-2.760719061E0,-7.872386575E-1
3.223026204E0,1.405723476E1,-3.775874138E0,-2.148156643E0
3.242266308E0,1.368215942E1,-3.540779352E0,-3.006581545E0
3.261506412E0,1.381855106E1,-1.731805444E0,-3.623331785E0
3.280746516E0,1.203589821E1,5.611169338E-1,-3.223132133E0
3.299986620E0,7.889136314E0,4.081557274E0,-5.188836098E0
3.319226620E0,5.370092392E0,6.549753666E0,-8.671588898E0
3.338466725E0,3.207578659E0,7.201199532E0,-6.938587666E0
3.357706829E0,5.377270699E0,3.901497364E0,5.275575638E0
3.376946933E0,1.317787266E1,1.450648785E0,2.285025978E1
3.396187037E0,1.317069435E1,4.045066833E0,2.987199783E1
3.415427037E0,7.457231998E0,9.781859398E0,2.823650360E1
3.434667141E0,5.584249973E0,1.276630688E1,2.287837601E1
3.453907245E0,4.153341770E0,1.317787266E1,1.651885033E1
