"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.701936464E0,3.205665588E0,1.339779139E0,-3.901898861E-2
1.721176568E0,2.867246628E0,2.349996805E0,-2.303723842E-1
1.740416672E0,2.245997190E0,2.706436396E0,-1.095738709E-1
1.759656672E0,2.010814190E0,2.253632784E0,1.815031916E-1
1.778896777E0,2.167806387E0,1.580459952E0,4.573086500E-1
1.798136881E0,1.881463528E0,8.930842876E-1,4.690677822E-1
1.817376985E0,7.817541957E-1,2.411388755E-1,1.350774765E-1
1.836617089E0,-7.441860437E-1,-2.658788860E-1,-1.520289779E-1
1.855857193E0,-1.718515396E0,-5.137372613E-1,-7.673988491E-2
1.875097297E0,-1.714697480E0,-5.623010397E-1,1.616500914E-1
1.894337402E0,-1.131932378E0,-6.365211010E-1,2.073122412E-1
1.913577402E0,-5.516108871E-1,-1.020907760E0,-7.254019380E-3
1.932817506E0,5.681042373E-2,-1.633910537E0,-3.862956166E-1
1.952057610E0,9.272927642E-1,-1.800829411E0,-7.415134907E-1
1.971297714E0,1.630398154E0,-1.476765633E0,-9.641736746E-1
1.990537818E0,1.558010578E0,-9.669989347E-1,-9.789871573E-1
2.009777922E0,4.309650958E-1,-1.306028843E0,-1.036408424E0
2.029017922E0,-2.452622056E-1,-1.571907759E0,-8.329904675E-1
2.048258027E0,-3.811796308E-1,-2.061515808E0,-5.588648915E-1
2.067498131E0,3.298669681E-2,-1.868940830E0,-4.692205191E-1
2.086738235E0,5.690205693E-1,-1.043357015E0,-4.452440739E-1
2.105978339E0,7.730493546E-1,-8.819360137E-1,-4.304305911E-1
2.125218443E0,5.636754632E-1,-1.476307511E0,-4.698313773E-1
2.144458443E0,1.099556610E-1,-1.693622589E0,-4.539488852E-1
2.163698547E0,-2.211330533E-1,-7.982475758E-1,-2.433532625E-1
2.182938652E0,-4.526508152E-1,4.834994674E-1,8.865175396E-2
2.202178756E0,-6.369792223E-1,1.238681078E0,3.204749227E-1
2.221418860E0,-7.762564421E-1,1.567173600E0,3.220020831E-1
2.240658964E0,-8.874338269E-1,1.977369308E0,2.027307451E-1
