Timestamp,Temperature,Humidity,Light,CO2,PIR,Microphone,Occupancy_Label
2026-01-07 14:00:00,21.3,45.3,104,63,0,0.0142,1
2026-01-07 14:00:02,21.2,45.3,97,63,0,0.0168,1
2026-01-07 14:00:04,21.1,45.3,100,63,0,0.0191,1
2026-01-07 14:00:06,21.2,45.3,96,63,0,0.0174,1
2026-01-07 14:00:08,21.3,45.3,102,63,0,0.0219,1
2026-01-07 14:00:10,21.2,45.3,103,63,0,0.0183,1
2026-01-07 14:00:12,21.2,45.3,105,63,0,0.0247,1
2026-01-07 14:00:14,21.1,45.3,104,63,0,0.0206,1
2026-01-07 14:00:16,21.2,45.3,98,63,0,0.0198,1
2026-01-07 14:00:18,21.2,45.3,99,63,0,0.0261,1
2026-01-07 14:00:20,21.2,45.3,99,63,0,0.0314,1
2026-01-07 14:00:22,21.3,45.3,100,63,0,0.0229,1
2026-01-07 14:00:24,21.3,45.3,98,63,0,0.0287,1
2026-01-07 14:00:26,21.3,45.3,100,63,0,0.0189,1
2026-01-07 14:00:28,21.3,45.3,100,63,0,0.0234,1
2026-01-07 14:00:30,21.3,45.3,104,63,0,0.0341,1
2026-01-07 14:00:32,21.3,45.3,97,63,0,0.0293,1
2026-01-07 14:00:34,21.3,45.3,103,63,0,0.0218,1
2026-01-07 14:00:36,21.3,45.3,96,62,0,0.0269,1
2026-01-07 14:00:38,21.4,45.3,96,62,0,0.0197,1
2026-01-07 14:00:40,21.4,45.3,96,62,0,0.0302,1
2026-01-07 14:00:42,21.4,45.3,96,62,0,0.0276,1
2026-01-07 14:00:44,21.4,45.3,104,62,0,0.0241,1
2026-01-07 14:00:46,21.5,45.3,99,62,0,0.0209,1
2026-01-07 14:00:48,21.5,45.3,96,62,0,0.0328,1
2026-01-07 14:00:50,21.5,45.3,102,62,0,0.0296,1
2026-01-07 14:00:52,21.4,45.3,98,62,1,0.0237,1
2026-01-07 14:00:54,21.4,45.3,100,62,0,0.0215,1
2026-01-07 14:00:56,21.3,45.3,101,62,0,0.0272,1
2026-01-07 14:00:58,21.3,45.3,104,62,0,0.0339,1
2026-01-07 14:01:00,21.2,45.3,100,62,0,0.0284,1
2026-01-07 14:01:02,21.2,45.3,105,62,0,0.0219,1
2026-01-07 14:01:04,21.3,45.3,99,62,0,0.0246,1
2026-01-07 14:01:06,21.2,45.3,104,62,0,0.0312,1
2026-01-07 14:01:08,21.1,45.3,104,62,0,0.0275,1
2026-01-07 14:01:10,21.2,45.3,99,62,0,0.0198,1
2026-01-07 14:01:12,21.2,45.3,103,62,0,0.0233,1
2026-01-07 14:01:14,21.3,45.3,100,62,0,0.0356,1
2026-01-07 14:01:16,21.3,45.3,96,62,0,0.0291,1
2026-01-07 14:01:18,21.2,45.3,97,62,0,0.0264,1
2026-01-07 14:01:20,21.2,45.3,102,62,0,0.0227,1
2026-01-07 14:01:22,21.2,45.3,104,62,0,0.0319,1
2026-01-07 14:01:24,21.3,45.3,98,62,1,0.0374,1
2026-01-07 14:01:26,21.2,45.3,103,62,0,0.0288,1
2026-01-07 14:01:28,21.2,45.3,101,62,0,0.0249,1
2026-01-07 14:01:30,21.1,45.4,105,62,1,0.0216,1
2026-01-07 14:01:32,21.1,45.4,105,62,0,0.0307,1
2026-01-07 14:01:34,21,45.4,96,62,0,0.0332,1
2026-01-07 14:01:36,20.9,45.4,100,62,0,0.0268,1
2026-01-07 14:01:38,21,45.4,101,62,0,0.0231,1
2026-01-07 14:01:40,21.1,45.4,100,62,0,0.0295,1
2026-01-07 14:01:42,21.1,45.4,102,62,0,0.0349,1
2026-01-07 14:01:44,21.1,45.4,101,62,0,0.0276,1
2026-01-07 14:01:46,21.1,45.4,103,62,0,0.0208,1
2026-01-07 14:01:48,21.1,45.4,96,62,0,0.0254,1
2026-01-07 14:01:50,21.1,45.4,100,62,0,0.0316,1
2026-01-07 14:01:52,21.1,45.4,99,62,0,0.0361,1
2026-01-07 14:01:54,21,45.4,99,62,0,0.0289,1
2026-01-07 14:01:56,21,45.4,101,62,0,0.0242,1
2026-01-07 14:01:58,21,45.4,97,62,0,0.0196,1
2026-01-07 14:02:00,21.1,45.4,102,62,0,0.0223,1
2026-01-07 14:02:02,21.1,45.4,101,62,0,0.0278,1
2026-01-07 14:02:04,21.1,45.4,103,62,0,0.0314,1
2026-01-07 14:02:06,21.1,45.4,105,62,1,0.0256,1
2026-01-07 14:02:08,21.2,45.4,105,62,0,0.0209,1
2026-01-07 14:02:10,21.2,45.4,99,62,0,0.0297,1
2026-01-07 14:02:12,21.2,45.4,103,62,0,0.0342,1
2026-01-07 14:02:14,21.2,45.4,101,62,0,0.0286,1
2026-01-07 14:02:16,21.3,45.4,96,62,0,0.0241,1
2026-01-07 14:02:18,21.2,45.4,102,62,0,0.0329,1
2026-01-07 14:02:20,21.2,45.5,101,62,0,0.0367,1
2026-01-07 14:02:22,21.2,45.5,137,62,1,0.0305,1
2026-01-07 14:02:24,21.2,45.5,100,62,0,0.0268,1
2026-01-07 14:02:26,21.2,45.5,97,62,0,0.0217,1
2026-01-07 14:02:28,21.2,45.5,100,62,0,0.0289,1
2026-01-07 14:02:30,21.2,45.5,99,62,0,0.0338,1
2026-01-07 14:02:32,21.1,45.5,102,62,0,0.0274,1
2026-01-07 14:02:34,21.1,45.5,102,62,0,0.0235,1
2026-01-07 14:02:36,21,45.5,96,62,0,0.0302,1
2026-01-07 14:02:38,21.1,45.5,96,62,0,0.0351,1
2026-01-07 14:02:40,21.2,45.5,96,62,1,0.0296,1
2026-01-07 14:02:42,21.2,45.5,102,62,0,0.0251,1
2026-01-07 14:02:44,21.3,45.5,102,62,0,0.0213,1
2026-01-07 14:02:46,21.3,45.5,97,62,0,0.0279,1
2026-01-07 14:02:48,21.3,45.5,97,62,0,0.0324,1
2026-01-07 14:02:50,21.3,45.5,101,62,0,0.0369,1
2026-01-07 14:02:52,21.3,45.5,104,62,0,0.0308,1
2026-01-07 14:02:54,21.3,45.5,105,62,0,0.0262,1
2026-01-07 14:02:56,21.3,45.5,98,62,0,0.0237,1
2026-01-07 14:02:58,21.2,45.5,103,62,0,0.0285,1
2026-01-07 14:03:00,21.2,45.5,104,62,1,0.0311,1
2026-01-07 14:03:02,21.2,45.5,105,62,0,0.0276,1
2026-01-07 14:03:04,21.2,45.5,97,62,0,0.0224,1
2026-01-07 14:03:06,21.2,45.5,98,62,0,0.0293,1
