sensor_configuration,num_features,accuracy,precision,recall,f1_score
All sensors,26,0.9763313609467456,0.9848484848484849,0.9848484848484849,0.9848484848484849
No Temperature,23,0.9763313609467456,0.9848484848484849,0.9848484848484849,0.9848484848484849
No Humidity,24,0.9526627218934911,0.9558823529411765,0.9848484848484849,0.9701492537313433
No Light,21,0.9644970414201184,0.9701492537313433,0.9848484848484849,0.9774436090225563
No CO2,21,0.9763313609467456,0.9848484848484849,0.9848484848484849,0.9848484848484849
No PIR,23,0.9704142011834319,0.9774436090225563,0.9848484848484849,0.9811320754716981
No Noise,20,0.9585798816568047,0.9699248120300752,0.9772727272727273,0.9735849056603774
No Time,24,0.9704142011834319,0.9774436090225563,0.9848484848484849,0.9811320754716981
Only Temperature,3,0.8816568047337278,0.8733333333333333,0.9924242424242424,0.9290780141843972
Only Humidity,2,0.8461538461538461,0.8680555555555556,0.946969696969697,0.9057971014492754
Only Light,5,0.8520710059171598,0.8689655172413793,0.9545454545454546,0.9097472924187726
Only CO2,5,0.7988165680473372,0.8223684210526315,0.946969696969697,0.8802816901408451
Only PIR,3,0.7810650887573964,0.7810650887573964,1.0,0.8770764119601329
Only Noise,6,0.893491124260355,0.9191176470588235,0.946969696969697,0.9328358208955224
Only Time,2,0.7810650887573964,0.7810650887573964,1.0,0.8770764119601329
