"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.576315635E0,7.286145091E-1,7.569096088E0,5.518447399E0
1.595554698E0,8.261220455E-1,7.875975609E0,4.869394302E0
1.614793656E0,9.768698215E-1,8.219346046E0,4.469792843E0
1.634032719E0,1.347757339E0,8.504091263E0,4.252644062E0
1.653271781E0,1.285543919E0,8.602795601E0,4.597808838E0
1.672510844E0,1.133599758E0,8.890532494E0,4.975874901E0
1.691749802E0,1.128814101E0,9.346963882E0,4.730011940E0
1.710988865E0,8.105686903E-1,9.301499367E0,4.971088886E0
1.730227927E0,9.810572863E-1,9.151350021E0,5.732604980E0
1.749466990E0,1.442273855E0,9.030512810E0,6.589833736E0
1.768706052E0,1.564906001E0,8.845666885E0,7.278368473E0
1.787945010E0,5.359922647E-1,9.403194427E0,7.232904434E0
1.807184073E0,-3.990031779E-1,9.723235130E0,5.645267010E0
1.826423135E0,-9.912267923E-1,9.736394882E0,4.218546391E0
1.845662198E0,-9.996016622E-1,9.150752068E0,4.380660057E0
1.864901156E0,-4.139583111E-1,8.319246292E0,5.303092957E0
1.884140219E0,9.391828626E-2,7.882555962E0,5.771488190E0
1.903379281E0,2.057827413E-1,7.676773071E0,5.652445316E0
1.922618344E0,2.985046208E-1,7.632505894E0,5.656034470E0
1.941857302E0,5.982056633E-2,7.566105366E0,5.811567783E0
1.961096365E0,1.591227055E-1,7.423732281E0,5.954539299E0
1.980335427E0,5.682953820E-2,7.230511665E0,6.010770321E0
1.999574490E0,-3.134597540E-1,6.960123062E0,5.631507874E0
2.018813448E0,-3.541377485E-1,6.726822853E0,5.325226784E0
2.038052510E0,-9.092725813E-2,6.587440968E0,5.322235584E0
2.057291573E0,2.153540403E-2,6.407979012E0,5.743970871E0
2.076530635E0,-1.794616925E-3,6.394220352E0,5.687141418E0
2.095769698E0,2.207378894E-1,6.522834301E0,5.495715618E0
2.115008656E0,1.435693651E-1,6.705287457E0,5.449653625E0
2.134247719E0,-8.733802289E-2,6.965506554E0,5.593821049E0
2.153486781E0,-4.905286431E-2,7.280761242E0,5.830112457E0
2.172725844E0,-1.094716340E-1,7.503293514E0,5.595615864E0
2.191964802E0,-4.151547253E-1,7.688737392E0,5.398207664E0
2.211203865E0,-5.790630579E-1,7.897511005E0,5.574080467E0
2.230442927E0,-2.632104978E-2,8.137989998E0,6.077171326E0
2.249681990E0,6.011967063E-1,8.226524353E0,6.448058605E0
2.268920948E0,7.830511928E-1,8.215756416E0,6.551548481E0
2.288160010E0,6.251249313E-1,8.413164139E0,6.571887493E0
2.307399073E0,2.931207716E-1,8.848059654E0,6.637690067E0
2.326638135E0,-9.571290761E-2,9.005986214E0,6.850052834E0
2.345877198E0,-2.889333367E-1,9.138788223E0,7.564310551E0
2.365116156E0,-1.298106313E-1,9.692726135E0,8.079365730E0
2.384355219E0,7.238288224E-2,9.709476471E0,7.329215527E0
2.403594281E0,3.206382394E-1,9.026923180E0,6.589833736E0
2.422833344E0,7.513462901E-1,8.041678429E0,7.094718933E0
2.442072302E0,1.314856052E0,7.304090977E0,7.768298626E0
2.461311365E0,1.535593987E0,7.188039303E0,7.833503246E0
2.480550427E0,1.213759303E0,7.186842918E0,7.369295597E0
2.499789490E0,9.667003751E-1,7.200003147E0,6.456433773E0
2.519028552E0,7.100701332E-1,7.101299286E0,5.707480431E0
2.538267510E0,5.790630579E-1,6.795616150E0,5.388636589E0
2.557506573E0,4.630111754E-1,6.520441532E0,5.404190063E0
2.576745635E0,5.754738450E-1,6.388238430E0,5.690132141E0
2.595984698E0,6.520441771E-1,6.367899418E0,5.791228771E0
2.615223656E0,1.238285750E-1,6.407381058E0,5.751149178E0
2.634462719E0,-4.582255483E-1,6.523432732E0,5.559125423E0
2.653701781E0,-5.216353536E-1,6.516852379E0,5.561518192E0
2.672940844E0,-1.477568001E-1,6.537789822E0,5.739783287E0
2.692179906E0,1.345962733E-1,6.701099873E0,5.796612740E0
2.711418865E0,2.051845491E-1,7.107281685E0,5.617151260E0
2.730657927E0,1.226321608E-1,7.527820110E0,5.386243820E0
2.749896990E0,1.196411322E-3,7.812565804E0,5.274977684E0
2.769136052E0,1.106680483E-1,7.992625713E0,5.183452129E0
2.788375115E0,5.766702294E-1,7.981858253E0,5.503491879E0
2.807614073E0,8.195417523E-1,8.102695465E0,5.927619934E0
2.826853135E0,6.586244106E-1,8.460422516E0,6.016752720E0
2.846092198E0,2.015953064E-1,8.786444664E0,5.716453075E0
