"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.671387875E0,1.188895553E-1,6.245328784E-1,4.589121789E-2
1.690626833E0,7.429642975E-2,8.377246857E-1,6.467530876E-2
1.709865896E0,-2.787070535E-2,9.093486071E-1,5.444332212E-2
1.729104958E0,-9.903645515E-2,8.839976788E-1,1.190422773E-1
1.748344021E0,-5.642863363E-2,7.883973718E-1,1.292742640E-1
1.767583083E0,8.804088831E-2,8.383355737E-1,7.857248187E-2
1.786822042E0,3.323867917E-1,1.050000191E0,3.397935256E-2
1.806061104E0,5.828413367E-1,9.090431333E-1,1.901316643E-2
1.825300167E0,5.127446055E-1,2.538906634E-1,-1.153007243E-2
1.844539229E0,1.957058012E-1,-3.778962195E-1,3.474293277E-2
1.863778188E0,-8.315397054E-2,-4.458549321E-1,1.485165060E-1
1.883017250E0,-2.273180634E-1,-7.887791097E-2,2.441168427E-1
1.902256313E0,-3.136027157E-1,3.191004992E-1,2.971093655E-1
1.921495375E0,-3.693441153E-1,3.699549735E-1,2.590830326E-1
1.940734333E0,-3.691914082E-1,2.851974964E-1,1.697440445E-1
1.959973396E0,-3.337612450E-1,2.451858521E-1,9.521854669E-2
1.979212458E0,-2.815323174E-1,2.293033600E-1,1.412624773E-2
1.998451521E0,-2.552651167E-1,2.042579055E-1,-1.779143699E-2
2.017690479E0,-2.827540338E-1,1.431714296E-1,1.382081583E-2
2.036929542E0,-3.308596313E-1,-5.879573524E-3,3.214675933E-2
2.056168604E0,-3.218493760E-1,-1.103374511E-1,4.237874225E-2
2.075407667E0,-2.537379563E-1,-2.206749097E-2,7.521272451E-2
2.094646729E0,-2.424369603E-1,1.344666034E-1,9.995274991E-2
2.113885688E0,-2.418260872E-1,1.816559136E-1,5.978839099E-2
2.133124750E0,-2.155589163E-1,7.475458086E-2,2.420551702E-2
2.152363813E0,-1.434768587E-1,-3.061959706E-2,9.926552884E-4
2.171602875E0,-7.765618712E-2,-4.451677203E-2,-3.000873141E-2
2.190841833E0,-1.056032479E-1,-4.405862093E-2,-4.176788032E-2
2.210080896E0,-1.640935540E-1,-1.123227626E-1,-6.490438245E-3
2.229319958E0,-1.495855153E-1,-3.180314898E-1,2.939786762E-2
2.248559021E0,-6.543888897E-2,-4.408152997E-1,-2.909243479E-2
2.267797979E0,8.933897130E-3,-3.452149630E-1,-1.318704337E-1
2.287037042E0,4.619665071E-2,-2.002872825E-1,-2.302196622E-1
2.306276104E0,7.964149863E-2,-1.943313628E-1,-3.094793558E-1
2.325515167E0,8.636100590E-2,-2.688568532E-1,-3.406334817E-1
2.344754229E0,8.910989761E-2,-3.161988854E-1,-2.855029404E-1
2.363993188E0,1.937204897E-1,-3.198640645E-1,-2.111301422E-1
2.383232250E0,2.971093655E-1,-3.939314187E-1,-1.628718227E-1
2.402471313E0,1.341611743E-1,-5.063305497E-1,-9.888373315E-2
2.421710375E0,-1.366046369E-1,-4.003455043E-1,-3.130682046E-3
2.440949333E0,-2.502254844E-1,-1.144607887E-1,6.589704007E-2
2.460188396E0,-1.634826809E-1,8.208495378E-2,2.863428742E-2
2.479427458E0,8.399390499E-4,-1.977674663E-2,-6.375901401E-2
2.498666521E0,1.321758628E-1,-2.054796368E-1,-1.457676142E-1
2.517905583E0,1.254563481E-1,-4.237110913E-1,-2.282343507E-1
2.537144542E0,5.574141163E-3,-4.780780375E-1,-2.468657345E-1
2.556383604E0,-1.724929363E-1,-3.077994883E-1,-2.085339576E-1
2.575622667E0,-3.026071489E-1,-4.696023092E-2,-1.538615674E-1
2.594861729E0,-3.209330738E-1,1.563050300E-1,-1.712712198E-1
2.614100688E0,-2.685514390E-1,1.753945500E-1,-2.190713882E-1
2.633339750E0,-2.057850659E-1,6.436987966E-2,-1.897498667E-1
2.652578813E0,-1.686750352E-1,-6.727148592E-2,-8.697187155E-2
2.671817875E0,-1.202640012E-1,-9.964732081E-2,6.185005885E-3
2.691056938E0,-3.291033953E-2,-5.337430909E-2,5.093085021E-2
2.710295896E0,5.291616172E-2,-1.091920771E-2,5.077813566E-2
2.729534958E0,9.414953738E-2,-4.024071619E-2,3.275762498E-2
2.748774021E0,1.088102907E-1,-3.428478539E-2,4.405862093E-2
2.768013083E0,8.620829135E-2,-2.893971838E-2,7.857248187E-2
2.787252146E0,4.054614902E-2,-1.145371469E-3,9.430225194E-2
2.806491104E0,4.207331315E-2,1.366046369E-1,6.498073786E-2
2.825730167E0,9.735657275E-2,3.105483949E-1,1.931859925E-2
2.844969229E0,1.340084672E-1,4.108829200E-1,-1.198822167E-2
2.864208292E0,9.674570709E-2,3.693441153E-1,1.076649129E-2
2.883447354E0,4.711294547E-2,2.274707705E-1,6.849320978E-2
2.902686313E0,7.567087561E-2,9.231694043E-2,1.066722646E-1
2.921925375E0,2.180023640E-1,1.424078494E-1,1.269835234E-1
2.941164438E0,4.734965563E-1,4.304305911E-1,1.459203213E-1
2.960403500E0,5.965858102E-1,3.132972717E-1,1.220965981E-1
2.979642563E0,2.902371287E-1,-3.821722865E-1,1.321758628E-1
2.998881521E0,-1.824194938E-1,-5.661953092E-1,2.774089575E-1
3.018120583E0,-3.943895698E-1,-2.374736778E-2,4.661661983E-1
3.037359646E0,-2.186132371E-1,6.486620307E-1,4.999164641E-1
3.056598708E0,9.918916970E-2,8.365029693E-1,3.446041048E-1
3.075837771E0,2.581667304E-1,4.942659736E-1,2.244164497E-1
3.095076729E0,2.540434003E-1,1.081994250E-1,2.334267050E-1
3.114315792E0,1.837939471E-1,-7.521272451E-2,3.154352903E-1
3.133554854E0,8.819360286E-2,-9.995274991E-2,3.827831447E-1
3.152793917E0,-1.855501719E-2,-3.993528336E-2,4.234056473E-1
3.172032979E0,-1.178205460E-1,6.177370250E-2,4.394408464E-1
3.191272042E0,-1.556941569E-1,1.625663936E-1,4.201986194E-1
3.210511000E0,-1.295796931E-1,2.016617358E-1,3.618610203E-1
3.229750063E0,-9.491311759E-2,1.889862865E-1,2.851974964E-1
3.248989125E0,-7.108938694E-2,2.022725940E-1,2.146426141E-1
3.268228188E0,-4.024071619E-2,1.979965419E-1,1.711184978E-1
3.287467250E0,4.207331315E-2,1.581376195E-1,1.333975941E-1
3.306706313E0,1.352301836E-1,9.857830405E-2,6.711876392E-2
3.325945271E0,1.741728187E-1,3.184132650E-2,-5.268708803E-3
3.345184333E0,1.271362305E-1,-2.481638081E-2,-4.115701467E-2
3.364423396E0,6.604975462E-2,-3.077231348E-2,-6.101011857E-2
3.383662458E0,9.185878932E-2,-2.130390890E-2,-1.112537459E-1
3.402901521E0,1.964693815E-1,-7.536543906E-2,-1.874591261E-1
3.422140583E0,2.757290900E-1,-1.961639524E-1,-2.575558722E-1
3.441379542E0,2.522107959E-1,-3.087157905E-1,-3.114646673E-1
3.460618604E0,1.532506943E-1,-3.264308572E-1,-3.368155658E-1
3.479857667E0,2.634354308E-2,-2.172387838E-1,-3.119228184E-1
3.499096729E0,-4.497491941E-2,-5.047270283E-2,-2.887099683E-1
3.518335792E0,5.887209252E-2,1.015562657E-2,-3.152825832E-1
3.537574854E0,1.772271395E-1,-1.870009750E-1,-3.520871997E-1
3.556813917E0,6.604975462E-2,-5.145772099E-1,-3.836994469E-1
3.576052875E0,-1.505018175E-1,-6.225475669E-1,-3.255145550E-1
3.595291938E0,-3.388008773E-1,-4.278344214E-1,-2.267071903E-1
3.614531000E0,-3.754527569E-1,-9.934188426E-2,-2.248746008E-1
3.633770063E0,-2.575558722E-1,9.506583214E-2,-3.139081299E-1
3.653009125E0,-1.146135032E-1,1.100320220E-1,-3.588066995E-1
3.672248188E0,-6.696604937E-2,-1.443168055E-2,-3.207803667E-1
3.691487250E0,-1.074358448E-1,-1.868482679E-1,-2.063959390E-1
3.710726208E0,-1.743255407E-1,-3.056614697E-1,-8.468113095E-2
3.729965271E0,-1.839466542E-1,-2.975675166E-1,-1.000291109E-2
3.749204333E0,-1.422551423E-1,-2.245691717E-1,-3.436114406E-3
3.768443396E0,-9.659299254E-2,-1.460730433E-1,-3.321577236E-2
3.787682458E0,-1.242346242E-1,-1.517235339E-1,-4.894553870E-2
3.806921521E0,-1.853211075E-1,-1.621082425E-1,-1.443168055E-2
3.826160583E0,-2.187659442E-1,-9.934188426E-2,3.657552972E-2
3.845399646E0,-1.636354029E-1,-7.559451740E-3,1.901316643E-2
3.864638604E0,-5.459604040E-2,6.131555140E-2,-3.504836559E-2
3.883877667E0,2.802342176E-2,8.407026529E-2,-5.688678101E-2
3.903116729E0,4.680751264E-2,4.589121789E-2,-4.222602770E-2
3.922355792E0,4.207331315E-2,-2.420551702E-2,-6.490438245E-3
3.941594854E0,3.611737862E-2,-4.268417507E-2,-3.741546767E-3
3.960833917E0,5.841394514E-2,1.231656075E-1,-5.581776798E-2
3.980072979E0,8.529199660E-2,4.151589870E-1,-8.498656005E-2
3.999312042E0,8.743002266E-2,5.475639105E-1,-6.895136088E-2
4.018551104E0,4.925097153E-2,3.843103051E-1,-1.458439697E-2
4.037790063E0,2.619082667E-2,1.474474818E-1,5.367974192E-2
4.057029125E0,1.399643868E-1,1.460730433E-1,1.033125073E-1
4.076268188E0,4.319577515E-1,3.406334817E-1,1.002581790E-1
4.095507250E0,7.738893032E-1,4.968621433E-1,6.223184988E-2
4.114746313E0,8.004619479E-1,2.024253160E-1,3.688096255E-2
4.133985375E0,3.291797638E-1,-5.135082006E-1,5.535962060E-2
4.153224438E0,-1.758527011E-1,-5.125918984E-1,1.758527011E-1
4.172463500E0,-4.504364133E-1,1.152243689E-1,2.610683441E-1
4.191702563E0,-4.177551568E-1,7.592285872E-1,1.619555205E-1
4.210941625E0,-1.721875072E-1,1.068020701E0,-9.239329956E-3
4.230180688E0,3.428478539E-2,1.005865216E0,-6.391172856E-2
4.249419646E0,7.551816106E-2,6.523272395E-1,3.588830587E-3
4.268658708E0,3.810269013E-2,2.935968935E-1,1.231656075E-1
4.287897771E0,1.947131567E-2,1.311068535E-1,2.312886715E-1
4.307136833E0,-6.337722298E-3,1.237764731E-1,3.117701113E-1
4.326375896E0,-7.796161622E-2,1.462257504E-1,3.927097023E-1
4.345614958E0,-1.272889525E-1,1.114064679E-1,4.319577515E-1
4.364854021E0,-1.143080741E-1,3.627009690E-2,4.227947891E-1
4.384093083E0,-7.414371520E-2,1.015562657E-2,3.490328491E-1
4.403332146E0,-4.619665071E-2,3.871355578E-2,2.596938908E-1
4.422571208E0,-6.146826968E-2,9.934188426E-2,1.844048053E-1
4.441810271E0,-6.299543381E-2,1.961639524E-1,1.411861181E-1
4.461049333E0,-8.269581944E-2,2.593884468E-1,1.349247545E-1
4.480288292E0,-8.544471115E-2,2.603047490E-1,1.416442692E-1
4.499527354E0,-7.414371520E-2,1.773798615E-1,1.463784724E-1
4.518766417E0,-6.116283685E-2,9.353867173E-2,1.595120728E-1
4.538005479E0,-4.741837829E-2,6.772962958E-2,1.448513120E-1
4.557244542E0,3.283398226E-3,1.278998107E-1,1.147662178E-1
4.576483604E0,1.016326249E-1,1.866955459E-1,1.020907760E-1
4.595722667E0,1.967748106E-1,1.433241516E-1,1.027016416E-1
4.614961729E0,2.624427676E-1,8.376483619E-2,1.158352345E-1
4.634200792E0,2.798524201E-1,7.689260691E-2,1.398116797E-1
4.653439854E0,2.554178238E-1,1.202640012E-1,1.735619605E-1
4.672678917E0,2.147953212E-1,1.324812919E-1,2.111301422E-1
4.691917979E0,1.950949430E-1,1.624136716E-1,2.464075834E-1
4.711157042E0,2.073122412E-1,1.923460513E-1,2.680932879E-1
4.730396104E0,6.696604937E-2,9.980003536E-2,2.647335231E-1
4.749635167E0,-2.181550860E-1,8.300124854E-2,2.986365259E-1
4.768874125E0,-4.443277717E-1,3.649153411E-1,3.809505403E-1
4.788113188E0,-4.391354322E-1,7.942005992E-1,4.739547074E-1
4.807352250E0,-2.297615111E-1,9.869284034E-1,4.999164641E-1
4.826591313E0,5.535962060E-2,7.987820506E-1,4.925860763E-1
4.845830375E0,2.161697745E-1,3.942368627E-1,5.116755962E-1
4.865069438E0,2.065486610E-1,1.402698308E-1,5.646681190E-1
4.884308500E0,1.063668281E-1,1.563050300E-1,5.996401310E-1
4.903547563E0,-3.581194952E-2,3.293324709E-1,5.820778012E-1
4.922786625E0,-1.459203213E-1,5.058723688E-1,5.112174749E-1
4.942025688E0,-2.068540901E-1,6.248382926E-1,4.392881393E-1
4.961264750E0,-1.967748106E-1,7.949641347E-1,4.174497128E-1
4.980503813E0,-1.495855153E-1,9.018654823E-1,3.925569654E-1
4.999742875E0,-9.506583214E-2,9.111811519E-1,3.691914082E-1
5.018981938E0,-5.887209252E-2,8.989638686E-1,3.861429095E-1
5.038221000E0,-2.741255611E-2,8.723912835E-1,4.492146969E-1
5.057460063E0,4.573849961E-2,7.613666058E-1,5.173261166E-1
