,accuracy,precision,recall,f1_score
Logistic Regression,0.9467455621301775,0.9424460431654677,0.9924242424242424,0.966789667896679
Random Forest,0.9763313609467456,0.9848484848484849,0.9848484848484849,0.9848484848484849
KNN,0.9467455621301775,0.9694656488549618,0.9621212121212122,0.9657794676806084
