,accuracy,precision,recall,f1_score,num_features
All sensors,0.9763313609467456,0.9848484848484849,0.9848484848484849,0.9848484848484849,26.0
Without CO2,0.9822485207100592,0.9923664122137404,0.9848484848484849,0.9885931558935361,21.0
Without light,0.9644970414201184,0.9772727272727273,0.9772727272727273,0.9772727272727273,21.0
Without microphone,0.9763313609467456,0.9923076923076923,0.9772727272727273,0.9847328244274809,20.0
Only motion (PIR),0.7810650887573964,0.7810650887573964,1.0,0.8770764119601329,3.0
CO2 + PIR only,0.7988165680473372,0.8266666666666667,0.9393939393939394,0.8794326241134752,8.0
