"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
4.141312831E0,1.649334840E-2,3.283398226E-3,5.192350596E-3
4.189411581E0,-2.962694131E-2,2.703076601E-2,-1.687514037E-2
4.237509810E0,-1.542433538E-2,-9.621120058E-3,-2.634354308E-2
4.285608144E0,-3.665188793E-3,1.450803829E-3,-2.626718581E-2
4.333706373E0,1.870773360E-2,-1.740964688E-2,-2.138026804E-2
4.381804602E0,2.229656465E-2,-2.390008420E-2,-1.091920771E-2
4.429902935E0,-3.588830587E-3,1.275180187E-2,-2.977965865E-3
4.478001164E0,1.863137633E-2,-1.817322709E-2,-9.850194678E-3
4.526099498E0,3.054323839E-3,1.626427472E-2,2.061668551E-3
4.574197727E0,1.015562657E-2,-2.252563834E-2,-3.054323839E-3
4.622296060E0,4.589121789E-2,1.061377581E-2,-4.886918236E-3
4.670394914E0,1.435532235E-2,-9.621120058E-3,-1.985310577E-3
4.718492519E0,4.039343446E-2,-7.635809598E-4,1.603520010E-3
4.766590852E0,3.359756200E-3,2.374736778E-2,-4.352411721E-3
4.814689081E0,1.710421406E-2,-3.275762498E-2,-1.908952487E-3
4.862787414E0,5.390881747E-2,3.611737862E-2,-3.359756200E-3
4.910885644E0,3.054323897E-4,-3.306305781E-2,2.290742937E-3
4.958983977E0,3.283398226E-3,-1.412624773E-2,-2.397644334E-2
5.007082206E0,-2.794706449E-2,-1.229365356E-2,-8.781181648E-3
5.055180539E0,-1.611155830E-2,7.177661173E-3,-3.176496923E-2
5.103278769E0,2.970330045E-2,3.367391974E-2,-1.603520010E-3
5.151376998E0,-1.519526169E-2,-2.336557768E-2,-3.817904973E-3
5.199475331E0,2.672533505E-3,2.443459118E-3,1.404988952E-2
5.247573560E0,1.091920771E-2,1.030834299E-2,8.323032409E-3
5.295671894E0,-2.474002354E-2,4.810560029E-3,9.621120058E-3
5.343770123E0,-8.857538924E-3,6.108647678E-3,-5.879573524E-3
5.391868456E0,1.756236330E-2,3.512472380E-3,7.177661173E-3
5.439966685E0,2.466366626E-2,-1.626427472E-2,-3.588830587E-3
5.488065019E0,-1.099556591E-2,-5.345066893E-4,1.099556591E-2
5.536163248E0,9.468403645E-3,-4.123337101E-3,-3.436114406E-3
5.584261581E0,3.237583488E-2,2.390008420E-2,1.053741761E-2
5.632359810E0,-9.162971983E-4,-1.420260593E-2,-1.618791744E-2
5.680458144E0,1.542433538E-2,2.168569900E-2,6.872228696E-4
5.728556477E0,-1.588248461E-2,8.704823442E-3,-7.177661173E-3
5.776654706E0,-2.237292193E-2,1.947131567E-2,-2.825249685E-3
5.824753039E0,3.779725730E-2,1.069013402E-2,-1.298087649E-3
5.872851269E0,1.664606482E-2,-3.588830587E-3,6.795870606E-3
5.920949602E0,8.552107029E-3,-2.160934173E-2,-1.725693047E-2
5.969047831E0,-5.345066893E-4,3.932442144E-2,9.162971983E-4
6.017146164E0,-9.773836471E-3,-2.939786762E-2,-1.687514037E-2
6.065244394E0,5.031998456E-2,1.695149764E-2,9.850194678E-3
6.113342727E0,6.872228696E-4,-3.329212964E-2,-3.894262947E-3
6.161441060E0,1.687514037E-2,-1.076649129E-2,-3.283398226E-3
6.209539289E0,-1.985310577E-3,-1.687514037E-2,-9.315688163E-3
6.257637623E0,1.458439697E-2,-8.399390616E-3,-9.850194678E-3
6.305735852E0,3.000873141E-2,6.108647794E-4,-4.352411721E-3
6.353834185E0,-6.185005885E-3,5.879573524E-3,-5.345067009E-3
6.401932519E0,3.061959706E-2,-2.084576152E-2,-6.719512399E-3
6.450030748E0,-2.748891525E-2,2.573267929E-2,7.254019380E-3
6.498129081E0,-2.817613818E-2,-1.351538301E-2,-5.115992390E-3
6.546227310E0,1.664606482E-2,3.100138716E-2,6.795870606E-3
6.594325644E0,-3.054323839E-3,-2.252563834E-2,-9.239329956E-3
6.642423977E0,-4.810560029E-3,1.634063199E-2,-2.252563834E-2
6.690522206E0,1.893680729E-2,9.162971983E-4,-3.123046272E-2
6.738620539E0,-9.544761851E-3,-1.527161949E-4,-2.863428742E-2
6.786718873E0,-9.239329956E-3,2.474002354E-2,-1.244636998E-2
6.834817102E0,2.351829410E-2,-1.427896414E-2,-4.886918236E-3
6.882915435E0,5.574141163E-3,-8.170315996E-3,-1.733328775E-2
6.931013664E0,1.374445739E-3,6.032289471E-3,-9.850194678E-3
6.979111998E0,-9.010255337E-3,-4.428769648E-2,-3.039052337E-2
7.027210331E0,2.741255611E-2,-3.512472380E-3,-3.115410358E-2
7.075308560E0,1.985310577E-3,-3.275762498E-2,-5.612320080E-2
7.123406894E0,8.216131479E-2,-2.061668551E-3,-3.344484791E-2
7.171505227E0,6.039925665E-2,-4.802924395E-2,-1.947131567E-2
7.219603456E0,2.015853859E-2,-1.954767294E-2,3.894262947E-3
7.267701789E0,2.382372692E-2,1.748600416E-2,1.527161949E-4
7.315800123E0,-4.199695308E-3,-1.656970754E-2,-1.259908639E-2
7.363898352E0,2.306014486E-2,-1.702785492E-2,-9.468403645E-3
7.411996685E0,-2.176205814E-2,-1.198822167E-2,-1.259908639E-2
7.460095019E0,-1.588248461E-2,-1.481347065E-2,-3.856083751E-2
7.508193248E0,1.527161989E-2,-1.756236190E-3,-1.481347065E-2
7.556291581E0,-2.901607752E-2,-5.283980444E-2,-2.229656465E-2
7.604389914E0,-1.962403022E-2,-2.764163166E-2,-2.397644334E-2
7.652488144E0,2.496909723E-2,-5.345066637E-2,-3.718639165E-2
7.700586477E0,2.412915789E-2,-3.909534588E-2,-3.138317913E-2
7.748684810E0,4.108065739E-2,-2.061668597E-2,-1.443168055E-2
7.796783039E0,1.863137633E-2,-2.046396956E-2,1.443168055E-2
7.844881373E0,-4.046979360E-3,-3.504836559E-2,3.565923125E-2
7.892979706E0,1.817322709E-2,1.809686981E-2,3.649916872E-2
7.941078039E0,-3.023780696E-2,-3.268126398E-2,1.809686981E-2
7.989176269E0,2.168569900E-2,2.947422490E-2,1.473711245E-2
8.037274602E0,1.779143699E-2,4.505127668E-3,9.239329956E-3
8.085372935E0,2.825249685E-3,-5.726857111E-3,4.963276442E-3
8.133471164E0,2.565632015E-2,5.115992390E-3,1.259908639E-2
8.181569498E0,-9.773836471E-3,1.000291109E-2,-6.261364091E-3
8.229667831E0,-1.557705179E-2,1.397353224E-2,4.657844082E-3
8.277766060E0,-4.138609022E-2,5.574141163E-3,-1.550069358E-2
8.325864394E0,-6.643154658E-3,-1.053741761E-2,-1.374445739E-3
8.373962727E0,-1.985310577E-3,-4.199695215E-2,-1.122464053E-2
